timestamp;black;green;red
0;0;0;0
1;0;20;0
2;0;40;4
3;0;60;20
4;0;80;21
5;0;100;2
6;0;120;4
7;0;140;4
8;0;160;20
9;0;180;19
10;0;200;22
11;0;220;2
12;0;240;3
13;0;260;5
14;0;280;22
15;0;300;23
16;0;320;21
17;0;340;22
18;0;360;5
19;0;380;5
20;0;400;24
21;0;420;24
22;0;440;6
23;0;460;8
24;0;480;8
25;0;500;24
26;0;520;23
27;0;540;23
28;0;560;6
29;0;580;6
30;0;600;8
31;0;620;25
32;0;640;25
33;0;660;25
34;0;680;8
35;0;700;9
36;0;720;9
37;0;740;25
38;0;760;25
39;0;780;10
40;0;800;9
41;0;820;10
42;0;840;26
43;0;860;26
44;0;880;26
45;0;900;8
46;0;920;10
47;0;940;11
48;0;960;25
49;0;980;26
50;0;1000;26
51;0;1020;11
52;0;1040;8
53;0;1060;25
54;0;1080;25
55;0;1100;24
56;20;0;1
57;20;20;2
58;20;40;3
59;20;60;19
60;20;80;19
61;20;100;21
62;20;120;4
63;20;140;5
64;20;160;20
65;20;180;18
66;20;200;20
67;20;220;20
68;20;240;4
69;20;260;5
70;20;280;20
71;20;300;22
72;20;320;20
73;20;340;5
74;20;360;5
75;20;380;5
76;20;400;23
77;20;420;24
78;20;440;24
79;20;460;8
80;20;480;8
81;20;500;23
82;20;520;23
83;20;540;23
84;20;560;8
85;20;580;6
86;20;600;8
87;20;620;25
88;20;640;24
89;20;660;25
90;20;680;8
91;20;700;8
92;20;720;8
93;20;740;23
94;20;760;26
95;20;780;25
96;20;800;9
97;20;820;10
98;20;840;26
99;20;860;26
100;20;880;25
101;20;900;8
102;20;920;10
103;20;940;9
104;20;960;25
105;20;980;26
106;20;1000;9
107;20;1020;11
108;20;1040;9
109;20;1060;25
110;20;1080;25
111;20;1100;25
112;40;0;0
113;40;20;0
114;40;40;2
115;40;60;3
116;40;80;6
117;40;100;3
118;40;120;2
119;40;140;3
120;40;160;2
121;40;180;17
122;40;200;17
123;40;220;2
124;40;240;2
125;40;260;4
126;40;280;4
127;40;300;19
128;40;320;19
129;40;340;4
130;40;360;4
131;40;380;3
132;40;400;5
133;40;420;9
134;40;440;5
135;40;460;7
136;40;480;6
137;40;500;7
138;40;520;9
139;40;540;8
140;40;560;6
141;40;580;5
142;40;600;6
143;40;620;10
144;40;640;9
145;40;660;8
146;40;680;6
147;40;700;6
148;40;720;6
149;40;740;8
150;40;760;11
151;40;780;7
152;40;800;8
153;40;820;9
154;40;840;24
155;40;860;25
156;40;880;11
157;40;900;8
158;40;920;8
159;40;940;6
160;40;960;24
161;40;980;25
162;40;1000;8
163;40;1020;8
164;40;1040;6
165;40;1060;24
166;40;1080;24
167;40;1100;8
168;60;0;2
169;60;20;1
170;60;40;3
171;60;60;4
172;60;80;4
173;60;100;4
174;60;120;5
175;60;140;4
176;60;160;4
177;60;180;2
178;60;200;4
179;60;220;3
180;60;240;3
181;60;260;5
182;60;280;5
183;60;300;5
184;60;320;5
185;60;340;4
186;60;360;5
187;60;380;5
188;60;400;6
189;60;420;8
190;60;440;8
191;60;460;8
192;60;480;9
193;60;500;8
194;60;520;8
195;60;540;8
196;60;560;8
197;60;580;6
198;60;600;8
199;60;620;8
200;60;640;8
201;60;660;8
202;60;680;8
203;60;700;9
204;60;720;9
205;60;740;8
206;60;760;9
207;60;780;9
208;60;800;8
209;60;820;11
210;60;840;11
211;60;860;11
212;60;880;10
213;60;900;10
214;60;920;10
215;60;940;8
216;60;960;9
217;60;980;9
218;60;1000;10
219;60;1020;10
220;60;1040;9
221;60;1060;8
222;60;1080;10
223;60;1100;9
224;80;0;0
225;80;20;0
226;80;40;2
227;80;60;4
228;80;80;2
229;80;100;3
230;80;120;3
231;80;140;3
232;80;160;2
233;80;180;2
234;80;200;2
235;80;220;1
236;80;240;2
237;80;260;4
238;80;280;3
239;80;300;4
240;80;320;3
241;80;340;2
242;80;360;5
243;80;380;3
244;80;400;5
245;80;420;6
246;80;440;5
247;80;460;6
248;80;480;6
249;80;500;6
250;80;520;5
251;80;540;4
252;80;560;7
253;80;580;5
254;80;600;5
255;80;620;6
256;80;640;6
257;80;660;6
258;80;680;6
259;80;700;6
260;80;720;6
261;80;740;5
262;80;760;7
263;80;780;8
264;80;800;8
265;80;820;8
266;80;840;9
267;80;860;8
268;80;880;7
269;80;900;8
270;80;920;8
271;80;940;6
272;80;960;8
273;80;980;8
274;80;1000;8
275;80;1020;9
276;80;1040;6
277;80;1060;8
278;80;1080;6
279;80;1100;6
280;100;0;1
281;100;20;1
282;100;40;7
283;100;60;20
284;100;80;20
285;100;100;3
286;100;120;4
287;100;140;4
288;100;160;20
289;100;180;20
290;100;200;20
291;100;220;18
292;100;240;4
293;100;260;4
294;100;280;20
295;100;300;20
296;100;320;22
297;100;340;4
298;100;360;6
299;100;380;4
300;100;400;22
301;100;420;24
302;100;440;6
303;100;460;7
304;100;480;8
305;100;500;23
306;100;520;23
307;100;540;22
308;100;560;7
309;100;580;6
310;100;600;7
311;100;620;24
312;100;640;23
313;100;660;8
314;100;680;7
315;100;700;8
316;100;720;8
317;100;740;24
318;100;760;24
319;100;780;8
320;100;800;8
321;100;820;10
322;100;840;25
323;100;860;25
324;100;880;11
325;100;900;8
326;100;920;9
327;100;940;8
328;100;960;24
329;100;980;7
330;100;1000;10
331;100;1020;9
332;100;1040;8
333;100;1060;25
334;100;1080;25
335;100;1100;24
336;120;0;3
337;120;20;2
338;120;40;3
339;120;60;20
340;120;80;19
341;120;100;3
342;120;120;5
343;120;140;4
344;120;160;19
345;120;180;20
346;120;200;20
347;120;220;6
348;120;240;4
349;120;260;5
350;120;280;22
351;120;300;22
352;120;320;22
353;120;340;3
354;120;360;5
355;120;380;5
356;120;400;23
357;120;420;24
358;120;440;6
359;120;460;8
360;120;480;8
361;120;500;24
362;120;520;23
363;120;540;22
364;120;560;7
365;120;580;6
366;120;600;6
367;120;620;25
368;120;640;24
369;120;660;8
370;120;680;7
371;120;700;7
372;120;720;24
373;120;740;23
374;120;760;25
375;120;780;8
376;120;800;8
377;120;820;10
378;120;840;25
379;120;860;26
380;120;880;13
381;120;900;8
382;120;920;9
383;120;940;24
384;120;960;24
385;120;980;6
386;120;1000;9
387;120;1020;9
388;120;1040;25
389;120;1060;25
390;120;1080;24
391;120;1100;24
392;140;0;2
393;140;20;1
394;140;40;4
395;140;60;20
396;140;80;20
397;140;100;4
398;140;120;5
399;140;140;4
400;140;160;4
401;140;180;19
402;140;200;20
403;140;220;4
404;140;240;4
405;140;260;6
406;140;280;5
407;140;300;6
408;140;320;5
409;140;340;5
410;140;360;6
411;140;380;5
412;140;400;22
413;140;420;8
414;140;440;7
415;140;460;9
416;140;480;9
417;140;500;10
418;140;520;5
419;140;540;5
420;140;560;8
421;140;580;6
422;140;600;8
423;140;620;23
424;140;640;8
425;140;660;8
426;140;680;8
427;140;700;8
428;140;720;8
429;140;740;24
430;140;760;8
431;140;780;9
432;140;800;9
433;140;820;10
434;140;840;11
435;140;860;11
436;140;880;9
437;140;900;8
438;140;920;10
439;140;940;7
